Id,ActivityHour,TotalIntensity,AverageIntensity
8583815059,2016-05-03,0,0
8583815059,2016-05-03,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-04,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,0,0
8583815059,2016-05-05,24,0.4
8583815059,2016-05-05,12,0.2
8583815059,2016-05-05,13,0.216667
8583815059,2016-05-05,7,0.116667
8583815059,2016-05-05,11,0.183333
8583815059,2016-05-05,3,0.05
8583815059,2016-05-06,1,0.016667
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,0,0
8583815059,2016-05-06,5,0.083333
8583815059,2016-05-06,18,0.3
8583815059,2016-05-06,44,0.733333
8583815059,2016-05-06,55,0.916667
8583815059,2016-05-06,11,0.183333
8583815059,2016-05-06,1,0.016667
8583815059,2016-05-06,1,0.016667
8583815059,2016-05-06,3,0.05
8583815059,2016-05-06,0,0
8583815059,2016-05-06,30,0.5
8583815059,2016-05-06,26,0.433333
8583815059,2016-05-06,5,0.083333
8583815059,2016-05-06,9,0.15
8583815059,2016-05-06,7,0.116667
8583815059,2016-05-07,5,0.083333
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,0,0
8583815059,2016-05-07,18,0.3
8583815059,2016-05-07,10,0.166667
8583815059,2016-05-07,13,0.216667
8583815059,2016-05-07,19,0.316667
8583815059,2016-05-07,20,0.333333
8583815059,2016-05-07,20,0.333333
8583815059,2016-05-07,24,0.4
8583815059,2016-05-07,6,0.1
8583815059,2016-05-07,6,0.1
8583815059,2016-05-07,22,0.366667
8583815059,2016-05-07,26,0.433333
8583815059,2016-05-07,21,0.35
8583815059,2016-05-07,22,0.366667
8583815059,2016-05-07,9,0.15
8583815059,2016-05-07,9,0.15
8583815059,2016-05-08,5,0.083333
8583815059,2016-05-08,8,0.133333
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
8583815059,2016-05-08,0,0
