Id,ActivityHour,StepTotal
4445114986,2016-04-27,17
4445114986,2016-04-27,0
4445114986,2016-04-27,23
4445114986,2016-04-27,12
4445114986,2016-04-27,0
4445114986,2016-04-27,0
4445114986,2016-04-27,0
4445114986,2016-04-27,42
4445114986,2016-04-27,58
4445114986,2016-04-27,392
4445114986,2016-04-27,197
4445114986,2016-04-27,92
4445114986,2016-04-27,129
4445114986,2016-04-27,326
4445114986,2016-04-27,318
4445114986,2016-04-27,3941
4445114986,2016-04-27,405
4445114986,2016-04-27,218
4445114986,2016-04-27,420
4445114986,2016-04-27,54
4445114986,2016-04-27,427
4445114986,2016-04-28,0
4445114986,2016-04-28,183
4445114986,2016-04-28,38
4445114986,2016-04-28,13
4445114986,2016-04-28,24
4445114986,2016-04-28,0
4445114986,2016-04-28,0
4445114986,2016-04-28,7
4445114986,2016-04-28,7
4445114986,2016-04-28,0
4445114986,2016-04-28,6
4445114986,2016-04-28,270
4445114986,2016-04-28,387
4445114986,2016-04-28,110
4445114986,2016-04-28,443
4445114986,2016-04-28,455
4445114986,2016-04-28,496
4445114986,2016-04-28,10
4445114986,2016-04-28,469
4445114986,2016-04-28,595
4445114986,2016-04-28,226
4445114986,2016-04-28,134
4445114986,2016-04-28,323
4445114986,2016-04-28,297
4445114986,2016-04-29,0
4445114986,2016-04-29,80
4445114986,2016-04-29,0
4445114986,2016-04-29,0
4445114986,2016-04-29,95
4445114986,2016-04-29,0
4445114986,2016-04-29,0
4445114986,2016-04-29,42
4445114986,2016-04-29,18
4445114986,2016-04-29,0
4445114986,2016-04-29,0
4445114986,2016-04-29,0
4445114986,2016-04-29,0
4445114986,2016-04-29,237
4445114986,2016-04-29,145
4445114986,2016-04-29,148
4445114986,2016-04-29,468
4445114986,2016-04-29,661
4445114986,2016-04-29,614
4445114986,2016-04-29,207
4445114986,2016-04-29,369
4445114986,2016-04-29,341
4445114986,2016-04-29,612
4445114986,2016-04-29,621
4445114986,2016-04-30,165
4445114986,2016-04-30,67
4445114986,2016-04-30,0
4445114986,2016-04-30,0
4445114986,2016-04-30,0
4445114986,2016-04-30,23
4445114986,2016-04-30,0
4445114986,2016-04-30,0
4445114986,2016-04-30,427
4445114986,2016-04-30,363
4445114986,2016-04-30,78
4445114986,2016-04-30,136
4445114986,2016-04-30,415
4445114986,2016-04-30,464
4445114986,2016-04-30,40
4445114986,2016-04-30,786
4445114986,2016-04-30,707
4445114986,2016-04-30,597
4445114986,2016-04-30,551
4445114986,2016-04-30,643
4445114986,2016-04-30,38
4445114986,2016-04-30,112
4445114986,2016-04-30,384
4445114986,2016-04-30,226
4445114986,2016-05-01,125
4445114986,2016-05-01,22
4445114986,2016-05-01,0
4445114986,2016-05-01,0
4445114986,2016-05-01,0
4445114986,2016-05-01,0
4445114986,2016-05-01,0
4445114986,2016-05-01,35
4445114986,2016-05-01,47
4445114986,2016-05-01,14
4445114986,2016-05-01,8
4445114986,2016-05-01,46
4445114986,2016-05-01,269
4445114986,2016-05-01,791
4445114986,2016-05-01,414
4445114986,2016-05-01,1298
4445114986,2016-05-01,222
4445114986,2016-05-01,316
4445114986,2016-05-01,110
4445114986,2016-05-01,459
4445114986,2016-05-01,289
4445114986,2016-05-01,213
4445114986,2016-05-01,379
4445114986,2016-05-01,175
4445114986,2016-05-02,0
4445114986,2016-05-02,52
4445114986,2016-05-02,12
4445114986,2016-05-02,0
4445114986,2016-05-02,11
4445114986,2016-05-02,0
4445114986,2016-05-02,0
4445114986,2016-05-02,0
4445114986,2016-05-02,54
4445114986,2016-05-02,0
4445114986,2016-05-02,9
4445114986,2016-05-02,71
4445114986,2016-05-02,432
4445114986,2016-05-02,256
4445114986,2016-05-02,277
4445114986,2016-05-02,202
4445114986,2016-05-02,172
4445114986,2016-05-02,15
4445114986,2016-05-02,3764
4445114986,2016-05-02,264
4445114986,2016-05-02,483
4445114986,2016-05-02,420
4445114986,2016-05-02,218
4445114986,2016-05-02,198
4445114986,2016-05-03,0
4445114986,2016-05-03,78
4445114986,2016-05-03,0
4445114986,2016-05-03,0
4445114986,2016-05-03,0
4445114986,2016-05-03,0
4445114986,2016-05-03,0
4445114986,2016-05-03,6
4445114986,2016-05-03,246
4445114986,2016-05-03,93
4445114986,2016-05-03,7
4445114986,2016-05-03,29
4445114986,2016-05-03,227
4445114986,2016-05-03,514
4445114986,2016-05-03,188
4445114986,2016-05-03,533
4445114986,2016-05-03,468
4445114986,2016-05-03,37
4445114986,2016-05-03,3955
4445114986,2016-05-03,245
4445114986,2016-05-03,185
4445114986,2016-05-03,337
4445114986,2016-05-03,215
4445114986,2016-05-03,139
4445114986,2016-05-04,92
4445114986,2016-05-04,45
4445114986,2016-05-04,31
4445114986,2016-05-04,0
4445114986,2016-05-04,0
4445114986,2016-05-04,10
4445114986,2016-05-04,54
4445114986,2016-05-04,25
4445114986,2016-05-04,0
4445114986,2016-05-04,0
4445114986,2016-05-04,14
4445114986,2016-05-04,28
4445114986,2016-05-04,207
4445114986,2016-05-04,110
4445114986,2016-05-04,38
4445114986,2016-05-04,232
4445114986,2016-05-04,133
4445114986,2016-05-04,173
4445114986,2016-05-04,400
4445114986,2016-05-04,737
4445114986,2016-05-04,122
4445114986,2016-05-04,144
4445114986,2016-05-04,30
4445114986,2016-05-04,298
4445114986,2016-05-05,9
4445114986,2016-05-05,74
4445114986,2016-05-05,0
4445114986,2016-05-05,0
4445114986,2016-05-05,0
4445114986,2016-05-05,14
4445114986,2016-05-05,0
4445114986,2016-05-05,44
4445114986,2016-05-05,21
4445114986,2016-05-05,0
4445114986,2016-05-05,0
4445114986,2016-05-05,0
4445114986,2016-05-05,210
4445114986,2016-05-05,96
4445114986,2016-05-05,530
4445114986,2016-05-05,172
4445114986,2016-05-05,842
4445114986,2016-05-05,454
4445114986,2016-05-05,125
4445114986,2016-05-05,372
4445114986,2016-05-05,0
4445114986,2016-05-05,349
4445114986,2016-05-05,244
4445114986,2016-05-05,244
4445114986,2016-05-06,33
4445114986,2016-05-06,111
4445114986,2016-05-06,7
4445114986,2016-05-06,44
4445114986,2016-05-06,12
4445114986,2016-05-06,0
4445114986,2016-05-06,0
4445114986,2016-05-06,86
4445114986,2016-05-06,447
4445114986,2016-05-06,22
4445114986,2016-05-06,11
4445114986,2016-05-06,58
4445114986,2016-05-06,341
4445114986,2016-05-06,377
4445114986,2016-05-06,150
4445114986,2016-05-06,104
4445114986,2016-05-06,133
4445114986,2016-05-06,340
4445114986,2016-05-06,669
4445114986,2016-05-06,597
4445114986,2016-05-06,233
4445114986,2016-05-06,10
4445114986,2016-05-06,162
4445114986,2016-05-06,567
4445114986,2016-05-07,201
4445114986,2016-05-07,165
4445114986,2016-05-07,55
4445114986,2016-05-07,0
4445114986,2016-05-07,0
4445114986,2016-05-07,0
4445114986,2016-05-07,15
4445114986,2016-05-07,7
4445114986,2016-05-07,0
4445114986,2016-05-07,270
4445114986,2016-05-07,3403
4445114986,2016-05-07,0
4445114986,2016-05-07,0
4445114986,2016-05-07,0
4445114986,2016-05-07,14
4445114986,2016-05-07,0
4445114986,2016-05-07,0
4445114986,2016-05-07,154
4445114986,2016-05-07,359
4445114986,2016-05-07,138
4445114986,2016-05-07,155
4445114986,2016-05-07,41
4445114986,2016-05-07,190
4445114986,2016-05-07,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,0
4445114986,2016-05-08,147
4445114986,2016-05-08,219
4445114986,2016-05-08,539
4445114986,2016-05-08,415
4445114986,2016-05-08,864
4445114986,2016-05-08,939
4445114986,2016-05-08,1217
4445114986,2016-05-08,630
4445114986,2016-05-08,765
4445114986,2016-05-08,238
4445114986,2016-05-08,692
4445114986,2016-05-08,378
4445114986,2016-05-08,42
4445114986,2016-05-08,191
4445114986,2016-05-08,27
4445114986,2016-05-09,4
4445114986,2016-05-09,10
4445114986,2016-05-09,8
4445114986,2016-05-09,11
4445114986,2016-05-09,0
4445114986,2016-05-09,0
4445114986,2016-05-09,40
